Quest_id,Quest_txt,Quest_type,Quest_mark,Model_ans_id,Model_ans_txt
89,What is the maximum number of columns allowed in an Oracle table?,mcq,5,315,4000
90,Which of the following is NOT a valid data type in Oracle?,mcq,5,319,BOOLEAN
91,What is the purpose of a foreign key in Oracle?,mcq,5,322,To define a relationship between two tables
92,Which command is used to create a new table in Oracle?,mcq,5,325,CREATE
93,What is the purpose of the COMMIT statement in Oracle?,mcq,5,329,To save changes made to the database
94,Which of the following is NOT a valid constraint in Oracle?,mcq,5,336,INDEX
95,What is the purpose of the ROLLBACK statement in Oracle?,mcq,5,338,To roll back a transaction
96,Oracle is a relational database management system.,t/f,5,341,True
97,Oracle supports transactional processing.,t/f,5,343,True
98,Oracle can be used to build web applications.,t/f,5,345,True
99,Oracle provides built-in data encryption features.,t/f,5,347,True
100,Oracle is an open-source database management system.,t/f,5,350,False
101,What is Oracle?,mcq,5,351,A database management system
102,Which statement is true about Oracle databases?,mcq,5,358,They support relational database management
103,What is PL/SQL?,mcq,5,359,A programming language
104,Which statement is true about Oracle WebLogic Server?,mcq,5,364,It is a web server
105,What is the purpose of Oracle Data Guard?,mcq,5,367,To secure and back up data
106,Which statement is true about Oracle Cloud Infrastructure?,mcq,5,374,It is a cloud computing platform
107,What is Oracle SQL Developer?,mcq,5,377,An integrated development environment
108,Which statement is true about Oracle Fusion Middleware?,mcq,5,382,It is an infrastructure software
109,What is the purpose of Oracle GoldenGate?,mcq,5,386,To enable real-time data integration
110,Which statement is true about Oracle Database Appliance?,mcq,5,390,It is a hardware and software bundle
111,What is Oracle Exadata?,mcq,5,394,An engineered system for running Oracle Database
112,Which statement is true about Oracle Cloud Infrastructure Virtual Machines?,mcq,5,398,They are a scalable and customizable compute option
113,What is Oracle Real Application Clusters (RAC)?,mcq,5,402,A clustering database technology
114,Which statement is true about Oracle Enterprise Manager?,mcq,5,406,It is a comprehensive management solution
115,What is Oracle Advanced Compression?,mcq,5,410,A feature that reduces storage costs and improves performance
116,Oracle is a popular web services framework.,t/f,5,412,False
117,PL/SQL is a programming language used with Oracle databases.,t/f,5,413,True
118,Oracle Cloud Infrastructure is a cloud computing platform.,t/f,5,415,True
119,Oracle Exadata is an engineered system for running Oracle Database.,t/f,5,417,True
120,Oracle Advanced Compression is a feature that reduces storage costs and improves performance.,t/f,5,419,True
121,What is Oracle?,mcq,5,421,A database management system
122,Which of the following is not a feature of Oracle?,mcq,5,428,Object-oriented programming
123,What is the role of PL/SQL in Oracle?,mcq,5,431,To write stored procedures and functions
124,What is the purpose of Oracle Data Guard?,mcq,5,433,To synchronize data across multiple databases
125,Which statement is true about Oracle Database Architecture?,mcq,5,439,It is a three-tier architecture
126,What is the significance of a primary key in Oracle?,mcq,5,441,It ensures data integrity
127,Which Oracle feature is used to improve query performance?,mcq,5,445,Indexes
128,What is the purpose of an Oracle sequence?,mcq,5,449,To generate unique numbers
129,Which Oracle tool is used for database administration?,mcq,5,453,SQL*Plus
130,What is the role of an Oracle DBA?,mcq,5,458,To manage database security
131,Which Oracle component is responsible for managing memory?,mcq,5,463,SGA and PGA both
132,What is the purpose of an Oracle trigger?,mcq,5,468,To automatically execute a set of SQL statements
133,Which Oracle feature is used for data replication?,mcq,5,469,Materialized views
134,What is the role of the Oracle optimizer?,mcq,5,473,To optimize database performance
135,Which Oracle component is used to store user data?,mcq,5,478,Datafiles
136,Oracle is an open-source database management system.,t/f,5,482,False
137,Oracle supports distributed transactions across multiple databases.,t/f,5,483,True
138,Oracle is primarily used for text processing and document management.,t/f,5,485,True
139,Oracle supports both relational and object-oriented data models.,t/f,5,488,False
140,Oracle provides built-in support for XML data.,t/f,5,490,False
141,What is the Linux kernel?,mcq,5,492,The core component of the Linux operating system
142,Which command is used to create a new directory in Linux?,mcq,5,498,mkdir
143,What is the default shell in most Linux distributions?,mcq,5,499,Bash
144,Which command is used to display the current date and time in Linux?,mcq,5,503,date
145,What is the purpose of the chmod command in Linux?,mcq,5,509,To modify file permissions
146,Which command is used to list all running processes in Linux?,mcq,5,511,ps
147,What is the purpose of the grep command in Linux?,mcq,5,518,To filter text based on patterns
148,Which command is used to remove a directory in Linux?,mcq,5,520,rm
149,What is the purpose of the ifconfig command in Linux?,mcq,5,523,To display network interface configuration
150,Which command is used to copy files in Linux?,mcq,5,527,cp
151,What is the purpose of the uname command in Linux?,mcq,5,533,To display the system information
152,Which command is used to change the current working directory in Linux?,mcq,5,536,cd
153,What is the purpose of the tar command in Linux?,mcq,5,540,To compress files into an archive
154,Which command is used to find files in Linux?,mcq,5,543,find
155,What is the purpose of the echo command in Linux?,mcq,5,549,To print text or variables
156,Linux is an open-source operating system.,t/f,5,551,True
157,Linux distributions can be installed on both desktop and server systems.,t/f,5,553,True
158,The root user in Linux has unlimited privileges.,t/f,5,555,True
159,"Linux supports multitasking, allowing multiple processes to run concurrently.",t/f,5,557,True
160,Linux can be used as a server operating system but not as a desktop operating system.,t/f,5,560,False
161,What does HTML stand for?,mcq,5,561,Hyper Text Markup Language
162,Which tag is used to define an unordered list in HTML?,mcq,5,565,<ul>
163,What is the correct HTML tag for inserting a line break?,mcq,5,569,
164,Which attribute is used to specify a unique identifier for an HTML element?,mcq,5,573,id
165,Which tag is used to define a hyperlink in HTML?,mcq,5,577,<a>
166,Which tag is used to define a table in HTML?,mcq,5,581,<table>
167,What is the correct HTML for creating a numbered list?,mcq,5,585,<ol>
168,Which tag is used to define the title of an HTML document?,mcq,5,589,<title>
169,Which attribute is used to specify an alternative text for an image?,mcq,5,593,alt
170,Which tag is used to define a paragraph in HTML?,mcq,5,597,<p>
171,What is the correct HTML for inserting an image?,mcq,5,601,<img src='image.jpg'>
172,Which attribute is used to specify the width of an HTML element?,mcq,5,605,width
173,Which tag is used to define the header of a table in HTML?,mcq,5,609,<th>
174,What is the correct HTML for creating a checkbox?,mcq,5,613,<input type='checkbox'>
175,Which attribute is used to specify an inline style for an HTML element?,mcq,5,617,style
176,HTML stands for Hyper Text Markup Language.,t/f,5,622,False
177,The &lt;head&gt; tag is used to define the main content of a web page.,t/f,5,624,False
178,The &lt;body&gt; tag is used to define the visible content of a web page.,t/f,5,626,False
179,The &lt;div&gt; tag is used to create a division or section in an HTML document.,t/f,5,628,False
180,The &lt;script&gt; tag is used to link an external JavaScript file.,t/f,5,630,False
181,What is the shortcut for the [Undo] command in Photoshop?,mcq,5,631,Ctrl + Z
182,Which tool is used to select and move objects in Photoshop?,mcq,5,636,Move Tool
183,What does the term [RGB] stand for in Photoshop?,mcq,5,639,"Red, Green, Blue"
184,Which file format supports transparency in Photoshop?,mcq,5,645,GIF
185,How can you change the canvas size in Photoshop?,mcq,5,647,Image > Adjustments > Canvas Size
186,What does the term [Layer Mask] refer to in Photoshop?,mcq,5,653,A non-destructive way to hide or reveal parts of a layer
187,Which tool is used to remove blemishes and imperfections in Photoshop?,mcq,5,656,Healing Brush Tool
188,What is the purpose of the [Levels] adjustment in Photoshop?,mcq,5,660,To adjust the brightness and contrast of an image
189,Which tool is used to make precise selections based on color range in Photoshop?,mcq,5,664,Magic Wand Tool
190,What is the purpose of the [Clone Stamp] tool in Photoshop?,mcq,5,668,To remove unwanted elements from an image
191,How can you create a new layer in Photoshop?,mcq,5,674,Layer > Duplicate Layer
192,What does the term [Opacity] refer to in Photoshop?,mcq,5,676,The transparency of a layer or tool
193,Which tool is used to draw shapes in Photoshop?,mcq,5,680,Shape Tool
194,How can you apply a filter to an image in Photoshop?,mcq,5,684,Filter > Blur > Gaussian Blur
195,What is the purpose of the [Eyedropper] tool in Photoshop?,mcq,5,688,To select and sample colors from an image
196,Photoshop is a vector-based graphics editor.,t/f,5,692,False
197,Photoshop is primarily used for editing and manipulating digital photographs.,t/f,5,694,False
198,Photoshop is available for both Windows and macOS.,t/f,5,696,False
199,Photoshop is a free software.,t/f,5,698,False
200,Photoshop is developed by Adobe Systems.,t/f,5,700,False
201,What does CSS stand for?,mcq,5,701,Cascading Style Sheets
202,Which property is used to change the background color of an element?,mcq,5,705,background-color
203,Which CSS property controls the text size?,mcq,5,709,font-size
204,Which CSS property is used to control the space between elements?,mcq,5,713,margin
205,Which CSS property is used to make text bold?,mcq,5,717,font-weight
206,Which CSS property is used to underline text?,mcq,5,721,text-decoration
207,Which CSS property is used to change the color of text?,mcq,5,725,color
208,Which CSS property is used to control the style of a list item marker?,mcq,5,729,list-style-type
209,Which CSS property is used to control the space between lines of text?,mcq,5,733,line-height
210,Which CSS property is used to set the width of an element?,mcq,5,737,width
211,Which CSS property is used to set the height of an element?,mcq,5,741,height
212,Which CSS property is used to specify a fixed background image?,mcq,5,746,background-image
213,Which CSS property is used to control the elements to float on the left or right side?,mcq,5,749,float
214,Which CSS property is used to control the elements to display on top of each other?,mcq,5,753,z-index
215,Which CSS property is used to set the background color of an element?,mcq,5,757,background-color
216,CSS stands for Cascading Style Sheets.,t/f,5,762,False
217,The 'background-color' property is used to change the text color of an element.,t/f,5,764,False
218,The 'font-size' property is used to control the size of text.,t/f,5,766,False
219,The 'margin' property is used to control the space between elements.,t/f,5,768,False
220,The 'text-decoration' property is used to underline text.,t/f,5,770,False
221,What is Angular?,mcq,5,772,A framework for building web applications
222,Which language is used for building Angular applications?,mcq,5,777,TypeScript
223,What is the latest version of Angular as of 2021?,mcq,5,782,Angular 10
224,What is the purpose of Angular CLI?,mcq,5,784,To generate a new Angular project
225,What is a component in Angular?,mcq,5,787,A reusable piece of UI
226,What is two-way data binding in Angular?,mcq,5,791,A way to bind data in both HTML and TypeScript
227,What is the purpose of a service in Angular?,mcq,5,796,To manage shared data or logic
228,What is the Angular Router used for?,mcq,5,800,For handling navigation and routing
229,What is Angular Material?,mcq,5,803,A library for building UI components
230,What is ngModel used for in Angular?,mcq,5,808,To handle user input and perform two-way data binding
231,What is the purpose of *ngFor in Angular?,mcq,5,812,To loop through an array and render elements
232,What is Angular Directive?,mcq,5,816,A way to control the behavior of DOM elements
233,What is lazy loading in Angular?,mcq,5,819,A way to delay the loading of certain parts of the application
234,What is AOT compilation in Angular?,mcq,5,823,Ahead-of-Time compilation: A way to compile the application before it is deployed
235,What is the purpose of ngOnInit() in Angular?,mcq,5,828,To initialize data or logic in a component
236,Angular is a programming language.,t/f,5,832,False
237,TypeScript is used for building Angular applications.,t/f,5,834,False
238,Angular is primarily used for server-side programming.,t/f,5,836,False
239,Angular can be used to build single-page applications.,t/f,5,838,False
240,Angular is a back-end framework.,t/f,5,840,False
241,What does UI stand for in design?,mcq,5,842,User Interface
242,Which of the following is NOT a UX design principle?,mcq,5,848,Feedback
243,What is the purpose of wireframing in UI/UX design?,mcq,5,852,To plan the structure and layout
244,What does the term 'Information Architecture' refer to in UX design?,mcq,5,855,The process of gathering user feedback
245,Which of the following is a common color scheme used for accessible UI design?,mcq,5,858,Monochromatic
246,What is a persona in UX design?,mcq,5,862,A type of wireframe
247,What is the primary goal of usability testing in UX design?,mcq,5,867,To create high-fidelity prototypes
248,Which term is often used to describe the emotional response a user has to a design?,mcq,5,871,Functionality
249,What does 'UI Element Affordance' refer to?,mcq,5,875,The ability to easily navigate a website
250,What is the main purpose of a style guide in UI/UX design?,mcq,5,878,To showcase design concepts to clients
251,What does 'Accessibility' refer to in UX design?,mcq,5,882,The visual appeal of a design
252,What is the purpose of a 'Call to Action' button in UI design?,mcq,5,887,To display advertisements
253,What does 'UX Research' involve?,mcq,5,891,Creating wireframes and prototypes
254,Which design principle emphasizes the importance of clear and concise communication?,mcq,5,894,Consistency
255,What is the purpose of A/B testing in UX design?,mcq,5,898,To conduct user interviews
256,UI design focuses on the look and feel of a website or application.,t/f,5,901,True
257,Wireframes are high-fidelity prototypes that showcase the final design.,t/f,5,904,False
258,Information Architecture is concerned with the organization and structure of content.,t/f,5,905,True
259,Accessibility is not an important consideration in UX design.,t/f,5,908,False
260,Usability testing involves evaluating the effectiveness of a design with real users.,t/f,5,909,True
261,What is Hadoop?,mcq,5,912,A distributed computing platform
262,Which company developed Hadoop?,mcq,5,918,Yahoo
263,What is the primary goal of Hadoop?,mcq,5,919,To process and analyze big data
264,What programming language is commonly used with Hadoop?,mcq,5,923,Java
265,Which component of Hadoop is responsible for distributed storage?,mcq,5,927,Hadoop Distributed File System (HDFS)
266,What is the role of MapReduce in Hadoop?,mcq,5,932,Data processing
267,What is the purpose of YARN in Hadoop 2.x?,mcq,5,935,To manage resources and schedule jobs
268,Which type of data is Hadoop best suited for?,mcq,5,939,Structured data
269,What is the advantage of using Hadoop for processing big data?,mcq,5,944,Lower cost
270,Which Hadoop ecosystem component is used for data warehousing and SQL-like queries?,mcq,5,947,Hive
271,What is the function of Apache Pig in Hadoop?,mcq,5,952,Data processing
272,Which Hadoop component is used for data ingestion from external sources?,mcq,5,955,Sqoop
273,What is the purpose of Apache Hive in Hadoop?,mcq,5,961,Data warehousing
274,Which Hadoop component is used for real-time data streaming?,mcq,5,963,Flume
275,What is the primary goal of Apache Spark in Hadoop?,mcq,5,968,Data processing
276,Hadoop is a programming language.,t/f,5,972,False
277,Hadoop is primarily designed for processing and analyzing big data.,t/f,5,974,False
278,Hadoop is best suited for processing audio files.,t/f,5,976,False
279,Apache Pig is used for data processing in Hadoop.,t/f,5,978,False
280,Hadoop is limited in its ability to handle large volumes of data.,t/f,5,980,False
281,What is the primary goal of cybersecurity?,mcq,5,982,Minimizing the impact of cyberattacks
282,Which of the following is an example of a strong password?,mcq,5,988,SecurePassword123!
283,What does phishing involve?,mcq,5,991,Installing malware on a computer
284,What does SSL/TLS encryption do?,mcq,5,994,Secures communication over the internet
285,What is the purpose of a firewall?,mcq,5,998,Monitors network traffic and filters out unauthorized access
286,What is a common method of two-factor authentication?,mcq,5,1003,Security questions
287,What is the purpose of a VPN (Virtual Private Network)?,mcq,5,1005,Hiding a computer's IP address
288,What is the main goal of a DDoS (Distributed Denial of Service) attack?,mcq,5,1010,Disrupting or disabling a target's services
289,What is social engineering in the context of cybersecurity?,mcq,5,1014,Manipulating people into revealing confidential information
290,What does a security audit involve?,mcq,5,1018,Evaluating and assessing security measures and policies
291,What is the role of a security policy in an organization?,mcq,5,1021,Defining rules and guidelines for securing information and resources
292,What is a common type of malware that locks a user's files and demands a ransom for their release?,mcq,5,1027,Ransomware
293,What does a penetration test involve?,mcq,5,1030,Simulating a cyberattack to identify vulnerabilities
294,What is the purpose of a security incident response plan?,mcq,5,1034,Outlining steps to take in the event of a security breach
295,What does a firewall do at the network level?,mcq,5,1037,Monitors and filters incoming and outgoing network traffic
296,Firewalls are primarily designed to prevent physical access to a computer.,t/f,5,1042,False
297,Phishing involves tricking people into revealing sensitive information.,t/f,5,1044,False
298,Two-factor authentication typically involves using something you know and something you have.,t/f,5,1046,False
299,Malware that locks a user's files and demands a ransom for their release is called ransomware.,t/f,5,1048,False
300,A security incident response plan outlines steps to take in the event of a security breach.,t/f,5,1050,False
