Std_id,Crs_id,Crs_Material_helpful,Crs_Content,Crs_well-organised,Inst_ClassTime,Inst_Responce_Qus,Inst_GiveClearEx
20.0,4.0,1,5,5,3,4,5
21.0,8.0,0,3,0,5,5,5
21.0,2.0,5,2,3,3,3,3
22.0,9.0,4,4,4,5,5,5
22.0,13.0,5,2,3,2,3,4
22.0,5.0,3,4,3,1,3,4
22.0,3.0,3,1,4,1,4,3
23.0,12.0,1,4,1,5,3,3
23.0,11.0,2,3,3,2,3,1
24.0,7.0,5,3,5,3,5,5
24.0,15.0,3,1,3,1,3,4
24.0,10.0,1,5,1,4,2,2
24.0,2.0,4,4,4,5,5,4
25.0,8.0,3,2,2,4,2,2
25.0,13.0,4,1,4,4,2,2
26.0,1.0,0,5,4,3,4,5
26.0,15.0,1,1,3,5,4,3
27.0,5.0,2,5,5,6,0,5
27.0,9.0,1,4,4,7,5,5
27.0,4.0,2,4,4,6,0,3
28.0,11.0,5,5,5,1,3,5
28.0,14.0,1,4,5,2,4,5
29.0,3.0,2,5,4,5,3,3
29.0,7.0,1,4,5,5,0,4
29.0,12.0,5,5,4,5,3,2
30.0,6.0,5,1,1,1,3,4
30.0,10.0,5,1,2,3,0,4
31.0,8.0,4,3,3,5,4,4
31.0,2.0,2,5,5,3,3,2
31.0,1.0,4,3,2,4,0,5
32.0,13.0,5,2,1,5,5,3
32.0,15.0,4,2,2,4,3,5
33.0,9.0,5,1,3,5,4,5
33.0,3.0,4,3,2,5,5,5
33.0,4.0,5,2,3,5,3,3
34.0,5.0,5,1,2,3,0,4
34.0,11.0,3,0,3,4,0,5
34.0,14.0,3,4,3,3,5,5
35.0,12.0,2,3,5,7,4,5
35.0,7.0,4,4,5,3,5,5
36.0,5.0,2,3,4,5,5,4
36.0,7.0,3,3,5,3,4,5
36.0,4.0,4,3,5,4,4,3
37.0,3.0,3,4,4,5,5,4
37.0,6.0,4,3,4,3,4,4
37.0,9.0,1,3,2,4,3,3
38.0,15.0,5,3,5,5,4,4
38.0,10.0,1,3,1,2,2,2
39.0,8.0,2,1,2,2,2,1
39.0,11.0,2,2,2,3,5,5
40.0,1.0,1,5,1,4,5,5
40.0,12.0,2,3,2,3,2,2
40.0,2.0,2,4,2,4,5,5
41.0,14.0,2,5,5,7,1,2
41.0,13.0,2,5,1,5,5,1
42.0,6.0,3,5,3,7,5,5
42.0,11.0,3,3,3,1,4,3
43.0,3.0,3,4,3,4,4,4
43.0,10.0,1,4,4,1,4,4
43.0,14.0,3,4,4,5,3,4
44.0,9.0,5,1,4,4,4,4
44.0,2.0,3,5,4,5,5,4
44.0,8.0,5,5,4,5,5,5
45.0,5.0,3,4,4,5,5,4
45.0,15.0,0,4,5,3,5,5
46.0,7.0,4,4,4,5,4,3
46.0,12.0,5,3,4,4,4,3
46.0,1.0,2,5,2,4,2,2
47.0,4.0,4,3,4,5,3,3
47.0,13.0,2,5,2,3,2,2
47.0,3.0,0,5,5,5,4,4
48.0,6.0,2,5,4,3,5,5
48.0,9.0,5,3,4,5,5,4
49.0,10.0,4,5,5,4,4,4
49.0,11.0,4,4,4,5,5,3
50.0,14.0,3,5,5,4,4,5
50.0,15.0,2,3,4,5,4,5
50.0,8.0,2,3,4,4,4,5
51.0,2.0,4,5,5,4,4,3
51.0,5.0,2,4,4,4,4,4
52.0,1.0,4,5,5,5,5,4
52.0,12.0,0,4,5,4,4,5
52.0,7.0,3,3,3,3,4,4
53.0,4.0,0,5,4,4,2,4
53.0,13.0,3,2,3,1,4,5
53.0,11.0,4,5,4,5,3,5
54.0,14.0,4,5,4,3,5,5
54.0,9.0,4,3,5,5,5,4
54.0,3.0,4,3,4,4,5,5
55.0,10.0,3,3,3,4,1,3
55.0,6.0,3,5,5,4,4,5
55.0,15.0,1,4,3,3,3,2
56.0,5.0,2,5,5,4,4,3
56.0,8.0,1,3,4,5,4,4
57.0,7.0,0,4,4,5,5,3
57.0,11.0,1,5,4,4,5,4
58.0,2.0,1,3,5,4,5,5
58.0,14.0,3,5,5,4,4,3
59.0,1.0,5,2,2,4,2,2
59.0,13.0,4,1,4,2,4,4
59.0,4.0,1,5,5,3,4,5
60.0,12.0,0,3,0,5,5,5
60.0,3.0,5,2,3,3,3,3
61.0,9.0,4,4,4,5,5,5
61.0,6.0,5,2,3,2,3,4
62.0,3.0,3,4,3,1,3,4
62.0,8.0,3,1,4,1,4,3
62.0,13.0,1,4,1,5,3,3
63.0,1.0,2,3,3,2,3,1
63.0,5.0,5,3,5,3,5,5
63.0,6.0,3,1,3,1,3,4
64.0,11.0,1,5,1,4,2,2
64.0,2.0,4,4,4,5,5,4
64.0,10.0,3,2,2,4,2,2
65.0,12.0,4,1,4,4,2,2
65.0,4.0,0,4,5,4,4,5
66.0,8.0,3,3,3,3,4,4
66.0,9.0,0,5,4,4,2,4
67.0,15.0,3,2,3,1,4,5
67.0,13.0,4,5,4,5,3,5
67.0,5.0,4,5,4,3,5,5
68.0,7.0,4,3,5,5,5,4
68.0,6.0,4,3,4,4,5,5
68.0,14.0,3,3,3,4,1,3
69.0,4.0,3,5,5,4,4,5
69.0,1.0,1,4,3,3,3,2
69.0,2.0,2,5,5,4,4,3
70.0,3.0,1,3,4,5,4,4
70.0,12.0,0,4,4,5,5,3
71.0,14.0,1,5,4,4,5,4
71.0,15.0,1,3,5,4,5,5
72.0,10.0,3,5,5,4,4,3
72.0,11.0,5,2,2,4,2,2
73.0,9.0,4,1,4,2,4,4
73.0,7.0,1,5,5,3,4,5
74.0,5.0,0,3,0,5,5,5
74.0,8.0,5,2,3,3,3,3
74.0,12.0,5,5,5,1,3,5
75.0,6.0,1,4,5,2,4,5
75.0,3.0,2,5,4,5,3,3
75.0,13.0,1,4,5,5,0,4
76.0,1.0,5,5,4,5,3,2
76.0,2.0,5,1,1,1,3,4
76.0,15.0,5,1,2,3,0,4
77.0,4.0,4,3,3,5,4,4
77.0,9.0,2,5,5,3,3,2
77.0,10.0,4,3,2,4,0,5
77.0,11.0,5,2,1,5,5,3
77.0,14.0,4,2,2,4,3,5
78.0,7.0,5,1,3,5,4,5
78.0,3.0,4,3,2,5,5,5
78.0,6.0,5,2,3,5,3,3
78.0,12.0,5,1,2,3,0,4
79.0,8.0,3,0,3,4,0,5
79.0,5.0,3,4,3,3,5,5
79.0,13.0,2,3,5,7,4,5
79.0,14.0,4,4,5,3,5,5
80.0,10.0,2,3,4,5,5,4
80.0,1.0,3,3,5,3,4,5
80.0,15.0,4,3,5,4,4,3
80.0,4.0,3,4,4,5,5,4
81.0,11.0,4,3,4,3,4,4
81.0,12.0,1,3,2,4,3,3
81.0,9.0,5,3,5,5,4,4
82.0,3.0,1,3,1,2,2,2
82.0,7.0,2,1,2,2,2,1
82.0,5.0,2,2,2,3,5,5
82.0,13.0,1,5,1,4,5,5
83.0,1.0,2,3,2,3,2,2
83.0,15.0,2,4,2,4,5,5
83.0,7.0,2,5,5,7,1,2
84.0,10.0,2,5,1,5,5,1
84.0,4.0,3,5,3,7,5,5
85.0,6.0,3,3,3,1,4,3
85.0,14.0,3,4,3,4,4,4
86.0,3.0,1,4,4,1,4,4
86.0,13.0,3,4,4,5,3,4
86.0,5.0,5,1,4,4,4,4
87.0,12.0,3,5,4,5,5,4
87.0,9.0,5,5,4,5,5,5
87.0,4.0,2,3,4,5,5,4
87.0,6.0,3,3,5,3,4,5
88.0,12.0,4,3,5,4,4,3
88.0,7.0,3,4,4,5,5,4
89.0,6.0,4,3,4,3,4,4
89.0,1.0,1,3,2,4,3,3
90.0,5.0,5,3,5,5,4,4
90.0,4.0,1,3,1,2,2,2
90.0,11.0,2,1,2,2,2,1
90.0,15.0,2,2,2,3,5,5
91.0,10.0,1,5,1,4,5,5
91.0,3.0,2,3,2,3,2,2
91.0,9.0,2,4,2,4,5,5
91.0,7.0,2,5,5,7,1,2
92.0,14.0,2,5,1,5,5,1
92.0,12.0,3,5,3,7,5,5
92.0,2.0,3,3,3,1,4,3
92.0,13.0,3,4,3,4,4,4
93.0,8.0,1,4,4,1,4,4
93.0,4.0,3,4,4,5,3,4
94.0,10.0,5,1,4,4,4,4
94.0,13.0,3,5,4,5,5,4
95.0,5.0,5,5,4,5,5,5
95.0,8.0,3,4,4,5,5,4
95.0,7.0,0,4,5,3,5,5
96.0,1.0,4,4,4,5,4,3
96.0,3.0,5,3,4,4,4,3
96.0,13.0,2,5,2,4,2,2
97.0,8.0,4,3,4,5,3,3
97.0,5.0,2,5,2,3,2,2
98.0,7.0,0,5,5,5,4,4
98.0,10.0,2,5,4,3,5,5
98.0,6.0,5,3,4,5,5,4
98.0,1.0,4,5,5,4,4,4
99.0,3.0,4,4,4,5,5,3
99.0,4.0,3,5,5,4,4,5
99.0,15.0,2,3,4,5,4,5
99.0,6.0,2,3,4,4,4,5
100.0,14.0,4,5,5,4,4,3
100.0,11.0,2,4,4,4,4,4
100.0,2.0,4,5,5,5,5,4
100.0,12.0,0,4,5,4,4,5
,,3,3,3,3,4,4
,,0,4,5,4,4,5
,,3,3,3,3,4,4
,,0,5,4,4,2,4
,,3,2,3,1,4,5
,,4,5,4,5,3,5
,,4,5,4,3,5,5
,,4,3,5,5,5,4
,,4,3,4,4,5,5
,,3,3,3,4,1,3
,,3,5,5,4,4,5
,,1,4,3,3,3,2
,,2,5,5,4,4,3
,,1,3,4,5,4,4
,,0,4,4,5,5,3
,,1,5,4,4,5,4
,,1,3,5,4,5,5
,,3,5,5,4,4,3
,,5,2,2,4,2,2
,,4,1,4,2,4,4
,,1,5,5,3,4,5
,,0,3,0,5,5,5
,,5,2,3,3,3,3
,,1,3,4,5,4,4
,,0,4,4,5,5,3
,,1,5,4,4,5,4
,,1,3,5,4,5,5
,,3,5,5,4,4,3
,,5,2,2,4,2,2
,,4,1,4,2,4,4
,,1,5,5,3,4,5
,,0,3,0,5,5,5
,,5,2,3,3,3,3
,,4,4,4,5,5,5
,,5,2,3,2,3,4
,,3,4,3,1,3,4
,,3,1,4,1,4,3
,,1,4,1,5,3,3
,,2,3,3,2,3,1
,,5,3,5,3,5,5
,,3,1,3,1,3,4
,,1,5,1,4,2,2
,,4,4,4,5,5,4
,,3,2,2,4,2,2
,,4,1,4,4,2,2
,,2,3,4,5,5,4
,,3,3,5,3,4,5
,,4,3,5,4,4,3
,,3,4,4,5,5,4
,,4,3,4,3,4,4
,,1,3,2,4,3,3
,,5,3,5,5,4,4
,,1,3,1,2,2,2
,,2,1,2,2,2,1
,,2,2,2,3,5,5
,,1,5,1,4,5,5
,,2,3,2,3,2,2
,,2,4,2,4,5,5
,,2,5,5,7,1,2
,,2,5,1,5,5,1
,,3,5,3,7,5,5
,,3,3,3,1,4,3
,,3,4,3,4,4,4
,,1,4,4,1,4,4
,,3,4,4,5,3,4
,,5,1,4,4,4,4
,,3,5,4,5,5,4
,,5,5,4,5,5,5
,,3,4,4,5,5,4
,,0,4,5,3,5,5
,,4,4,4,5,4,3
,,5,3,4,4,4,3
,,2,5,2,4,2,2
,,4,3,4,5,3,3
,,2,5,2,3,2,2
,,0,5,5,5,4,4
,,2,5,4,3,5,5
,,5,3,4,5,5,4
,,4,5,5,4,4,4
,,4,4,4,5,5,3
,,3,5,5,4,4,5
,,2,3,4,5,4,5
,,2,3,4,4,4,5
,,4,5,5,4,4,3
,,2,4,4,4,4,4
,,4,5,5,5,5,4
,,0,4,5,4,4,5
,,3,3,3,3,4,4
,,2,5,4,3,5,5
,,5,3,4,5,5,4
,,4,5,5,4,4,4
,,4,4,4,5,5,3
,,3,5,5,4,4,5
,,2,3,4,5,4,5
,,2,3,4,4,4,5
,,4,5,5,4,4,3
,,2,4,4,4,4,4
,,4,5,5,5,5,4
,,0,4,5,4,4,5
,,3,3,3,3,4,4
,,0,5,4,4,2,4
,,3,2,3,1,4,5
,,4,5,4,5,3,5
,,4,5,4,3,5,5
,,4,3,5,5,5,4
,,4,3,4,4,5,5
,,3,3,3,4,1,3
,,3,5,5,4,4,5
,,1,4,3,3,3,2
,,2,5,5,4,4,3
,,3,2,3,1,4,5
,,4,5,4,5,3,5
,,4,5,4,3,5,5
,,4,3,5,5,5,4
,,4,3,4,4,5,5
,,3,3,3,4,1,3
,,3,5,5,4,4,5
,,1,4,3,3,3,2
,,2,5,5,4,4,3
,,1,3,4,5,4,4
,,0,4,4,5,5,3
,,1,5,4,4,5,4
,,1,3,5,4,5,5
,,3,5,5,4,4,3
,,5,2,2,4,2,2
,,4,1,4,2,4,4
,,1,5,5,3,4,5
,,0,3,0,5,5,5
,,5,2,3,3,3,3
,,1,3,4,5,4,4
,,0,4,4,5,5,3
,,1,5,4,4,5,4
,,1,3,5,4,5,5
,,3,5,5,4,4,3
,,5,2,2,4,2,2
,,4,1,4,2,4,4
,,1,5,5,3,4,5
,,0,3,0,5,5,5
,,5,2,3,3,3,3
,,4,4,4,5,5,5
,,5,2,3,2,3,4
,,3,4,3,1,3,4
,,3,1,4,1,4,3
,,1,4,1,5,3,3
,,2,3,3,2,3,1
,,5,3,5,3,5,5
,,3,1,3,1,3,4
,,1,5,1,4,2,2
,,4,4,4,5,5,4
,,3,2,2,4,2,2
,,4,1,4,4,2,2
,,2,3,4,5,5,4
,,3,3,5,3,4,5
,,4,3,5,4,4,3
,,3,4,4,5,5,4
,,4,3,4,3,4,4
,,1,3,2,4,3,3
,,5,3,5,5,4,4
,,1,3,1,2,2,2
,,2,1,2,2,2,1
,,2,2,2,3,5,5
,,1,5,1,4,5,5
,,2,3,2,3,2,2
,,2,4,2,4,5,5
,,2,5,5,7,1,2
,,2,5,1,5,5,1
,,3,5,3,7,5,5
,,3,3,3,1,4,3
,,3,4,3,4,4,4
,,1,4,4,1,4,4
,,3,4,4,5,3,4
,,5,1,4,4,4,4
,,3,5,4,5,5,4
,,5,5,4,5,5,5
,,3,4,4,5,5,4
,,0,4,5,3,5,5
,,4,4,4,5,4,3
,,5,3,4,4,4,3
,,2,5,2,4,2,2
,,4,3,4,5,3,3
,,2,5,2,3,2,2
,,0,5,5,5,4,4
,,2,5,4,3,5,5
,,5,3,4,5,5,4
,,4,5,5,4,4,4
,,4,4,4,5,5,3
,,3,5,5,4,4,5
,,2,3,4,5,4,5
,,2,3,4,4,4,5
,,4,5,5,4,4,3
,,2,4,4,4,4,4
,,4,5,5,5,5,4
,,0,4,5,4,4,5
,,3,3,3,3,4,4
,,2,5,4,3,5,5
,,2,2,2,3,5,5
,,1,5,1,4,5,5
,,2,3,2,3,2,2
,,2,4,2,4,5,5
,,2,5,5,7,1,2
,,2,5,1,5,5,1
,,3,5,3,7,5,5
,,3,3,3,1,4,3
,,3,4,3,4,4,4
,,1,4,4,1,4,4
,,3,4,4,5,3,4
,,5,1,4,4,4,4
,,3,5,4,5,5,4
,,5,5,4,5,5,5
,,3,4,4,5,5,4
,,0,4,5,3,5,5
,,4,4,4,5,4,3
,,5,3,4,4,4,3
,,2,5,2,4,2,2
,,4,3,4,5,3,3
,,2,5,2,3,2,2
,,0,5,5,5,4,4
,,3,4,3,3,5,5
,,2,3,5,7,4,5
,,4,4,5,3,5,5
,,2,3,4,5,5,4
,,3,3,5,3,4,5
,,4,3,5,4,4,3
,,3,4,4,5,5,4
,,4,3,4,3,4,4
,,1,3,2,4,3,3
,,5,3,5,5,4,4
,,1,3,1,2,2,2
,,2,1,2,2,2,1
,,2,2,2,3,5,5
,,1,5,1,4,5,5
,,2,3,2,3,2,2
,,2,4,2,4,5,5
,,2,5,5,7,1,2
,,2,5,1,5,5,1
,,3,5,3,7,5,5
,,3,3,3,1,4,3
,,3,4,3,4,4,4
,,1,4,4,1,4,4
,,3,4,4,5,3,4
,,5,1,4,4,4,4
,,3,5,4,5,5,4
,,5,5,4,5,5,5
,,3,4,4,5,5,4
,,0,4,5,3,5,5
,,4,4,4,5,4,3
,,5,3,4,4,4,3
,,2,5,2,4,2,2
,,4,3,4,5,3,3
,,2,5,2,3,2,2
,,0,5,5,5,4,4
,,2,5,4,3,5,5
,,5,3,4,5,5,4
,,4,5,5,4,4,4
,,4,4,4,5,5,3
,,3,5,5,4,4,5
,,2,3,4,5,4,5
,,2,3,4,4,4,5
,,4,5,5,4,4,3
,,2,4,4,4,4,4
,,4,5,5,5,5,4
,,0,4,5,4,4,5
,,3,3,3,3,4,4
,,0,5,4,4,2,4
,,3,2,3,1,4,5
,,4,5,4,5,3,5
,,4,5,4,3,5,5
,,4,3,5,5,5,4
,,4,3,4,4,5,5
,,3,3,3,4,1,3
,,3,5,5,4,4,5
,,1,4,3,3,3,2
,,2,5,5,4,4,3
,,1,3,4,5,4,4
,,0,4,4,5,5,3
,,1,5,4,4,5,4
,,1,3,5,4,5,5
,,3,5,5,4,4,3
,,5,2,2,4,2,2
,,4,1,4,2,4,4
,,1,5,5,3,4,5
,,0,3,0,5,5,5
,,5,2,3,3,3,3
,,4,4,4,5,5,5
,,5,2,3,2,3,4
,,3,4,3,1,3,4
,,3,1,4,1,4,3
,,1,4,1,5,3,3
,,2,3,3,2,3,1
,,5,3,5,3,5,5
,,3,1,3,1,3,4
,,1,5,1,4,2,2
,,4,4,4,5,5,4
,,3,2,2,4,2,2
,,4,1,4,4,2,2
,,0,5,4,3,4,5
,,1,1,3,5,4,3
,,2,5,5,6,0,5
,,1,4,4,7,5,5
,,2,4,4,6,0,3
,,5,5,5,1,3,5
,,1,4,5,2,4,5
,,2,5,4,5,3,3
,,1,4,5,5,0,4
,,5,5,4,5,3,2
,,5,1,1,1,3,4
,,5,1,2,3,0,4
,,4,3,3,5,4,4
,,2,5,5,3,3,2
,,4,3,2,4,0,5
,,5,2,1,5,5,3
,,4,2,2,4,3,5
,,5,1,3,5,4,5
,,4,3,2,5,5,5
,,5,2,3,5,3,3
